Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
170,0.189995033,0.061697095,0.248647519,0,0.218010325,0.438355972,0.009430987,0,0,0,0.069134945,0,0,0.490575494,0.002130118,0.226747456,0,0.048955278,0,0.021110149,0,0,0.004,0.363906634,0.935800211,2.024790371
171,0.393499661,0,0.348436312,0,0,0.498369957,0.022376164,0,0,0,0.141641867,0,0.068361336,0.32709123,0,0.110628654,0,0,0,0.27007878,0,0.002861432,0.002,0.447508122,0.893837029,2.183345394
172,0.448813039,0.856200629,0.692781479,0,0.060539467,0.581246783,0.091760003,0,0,0,0.220051993,0,0,0.185911852,0,0.076599546,0,0.027843484,0,0.257429459,0,0,0,0.602754385,0.797376357,3.499177734
173,0.033499981,0.599037019,0.274020861,0.100005826,0,0.766237256,0.03414441,0.065403955,0,0,0.003979823,0,0.030579989,0.344473961,0.011051886,0.53851018,0,0,0,0.119163948,0.000909805,0,0.002,0.439530383,0.897808576,2.921018902
174,0,0.146824709,0.33184363,0.024994942,0.011261193,0.290668867,0.146265184,0.040879504,0,0,0.063119443,0,0.013618499,0.221255037,0.031149323,0.13060628,0,0.217705694,0,0.235269721,0,0.039741924,0.002,0.377847787,0.926046005,1.945203949
175,0.155601846,0,0.996076089,0,0.058237405,0.191707905,0,0.001951035,0,0,0.090146733,0,0.012773706,0.070638527,0,0.028751858,0,0.001583698,0,0.349622405,0.031757668,0.002868779,0,0.573338127,0.831296634,1.991717655
176,0.361330293,0,0.256754199,0.08386311,0,0.512328994,0,0.045239168,0,0,0.306869307,0,0.033141162,0.886155464,0,0.020183476,0,0,0,0.310341493,0.023428449,0,0.014,0.27044355,0.982986089,2.839635114
177,0,0.084476073,0.811911346,0,0.373439391,0.351978568,0,0,0,0,0.215249049,0,0,0.549828372,0,0,0,0,0,0.256473901,0,0,0,0.456583603,0.891583958,2.6433567
178,0.243511956,0,0.38998947,0,0.00588972,0.22210457,0.003703181,0.025368851,0,0,0.120497113,0,0.023567323,0.632543715,0.005079829,0.181391895,0,0,0,0.213746148,0.001892903,0,0.01,0.305786179,0.971920861,2.069286676
179,0.127146222,0.018847695,0.853083281,0.248652897,0,1.403071922,0.689435504,0.135971382,0,0,0.166094788,0,0,0.959705206,0.06380477,0.189784954,0,0,0.062756027,0.26924112,0,0,0.014,0.29592245,0.965209423,5.187595768
180,0,0.201494107,1.151221615,0,0.112879876,0.550742646,0.021669648,0,0,0,0.24621169,0,0.077299709,0.159522891,0,0.083087364,0,0.020882094,0,0.359888624,0,0.015969217,0,0.581448581,0.813069219,3.000869481
181,0.198315352,0.225181973,0.782788252,0,0.209936438,0.648252986,0.068851749,0,0,0,0.376983206,0,0,0.450345077,0,0.073496564,0,0,0,0.252064282,0,0.164731771,0,0.497387161,0.866853307,3.450947651
182,0,0.200759404,0.553793522,0,0,0.584465743,0.239815958,0,0,0,0.169306107,0,0.003693544,0.323710385,0,0.138077868,0,0.02789888,0,0.266924309,0.032774098,0.066441039,0,0.49919348,0.867666265,2.607660857
183,0.101480616,0.370736122,0.681312274,0.3059546,0.121734819,0.169296239,0.04365086,0.1348779,0,0,0.24478587,0,0.153155591,0.254782385,0.010699145,0.212256534,0,0,0,0.358467323,0.031958286,0,0,0.498425327,0.866442048,3.195148565
184,0.292952516,0,0.6374696,0.025595929,0.064502367,0.486340414,0.041936489,0,0,0,0.214815275,0,0.114663034,0.1246479,0,0.141763481,0,0,0,0.337849998,0.002944356,0,0,0.473578175,0.880501376,2.485481358
185,0,0,0.369552502,0,0.076483607,0.316562508,0.153389989,0,0,0,0.128929875,0,0,0.248295032,0,0.007461237,0,0.05268122,0,0.291522669,0.075094408,0.128477465,0.014,0.271935457,0.975898661,1.848450513
186,0.241829253,0,0.306001229,0.036707037,0.001768296,0.62862482,0.180467825,0,0,0,0.262156983,0,0.163203226,0.409698217,0.011019397,0.043020204,0,0,0,0.185516806,0,0.100716663,0.012,0.299206653,0.961222325,2.570729956
187,0.008090404,0.022615149,0.595019423,0.022032485,0,0.36087447,0.089231311,0,0,0,0.082505976,0,0.012327596,0.283386355,0,0.277931356,0,0.060840571,0,0.221857315,0.049578383,0,0.002,0.415141962,0.911261923,2.086290795
188,0.217366588,0,0.113818999,0,0,0.092325591,0.01266842,0.062088643,0.096443953,0,0.131699373,0,0,1.104435432,0.000369126,0.277725107,0,0,0,0.194791692,0,0,0.024,0.197301361,1.045669833,2.303732924
189,0,0.138892525,0.31579829,0,0.10299808,0.024861981,0.134688975,0,0,0,0.135596394,0,0,0.44040525,0,0.069891293,0,0.022857196,0,0.144143624,0,0,0.052,0.147228205,1.044462636,1.530133609
190,0,0.769904632,0.438818627,0.144083811,0.119568695,0.582516322,0.024398531,0,0,0,0.043710183,0.020835722,0.006813266,0.590578592,0.05826275,0.4189922,0,0,0.453867437,0.013317655,0,0,0,0.478475927,0.878900751,3.68566842
191,0.139173575,0,0.400529883,0,0.127214621,0.066710299,0.003112019,0,0.013893043,0,0.117185702,0,0,0.468274697,0,0.124137914,0,0,0,0.543915217,0.006543188,0.062170076,0.01,0.30643759,0.975939557,2.072860233
192,0.315626094,0,0.230312357,0,0,0.510591319,0.247776395,0,0,0,0.086808475,0,0.073311345,0.318786417,0.005702792,0.039974631,0,0,0,0.033284911,0.015538095,0,0.008,0.326061819,0.952192328,1.87771283
193,0.016225637,0,0.572133578,0,0.140128462,0.292276471,0.122664108,0,0,0,0.146303911,0,0,0.42501754,0,0.128702803,0,0.139323156,0,0.185796117,0,0,0.006,0.337423453,0.949676437,2.168571782
194,0,0.406927832,0.202538924,0.083258744,0,0.366701712,0,0,0,0,0.010389605,0,0.035716838,0.174777541,0,0.280090596,0,0,0,0.166796311,0.010631609,0,0.068,0.13682544,1.040226584,1.73782971
195,0.255366297,0,0.364675605,0.350270043,0,0.501040196,0.201069685,0.001716783,0,0,0.111067742,0,0.115752283,0.194118027,0,0.052296544,0,0.015326184,0,0.103933971,0,0,0.004,0.358657976,0.938774124,2.26663336
196,0.164164496,0,0.238099436,0.273746184,0,0.721241991,0.22700598,0.120838749,0,0,0.097655611,0,0.199758572,0.394862284,0.14251674,0.122969321,0,0,0,0.2069984,0.051655809,0,0.018,0.212429768,0.996355881,2.961513572
197,0.350148886,0,0.308712613,0.078270215,0,0.512020663,0.124945358,0,0,0,0.022014041,0,0.049322076,0.12715803,0,0.016135336,0,0.118981166,0,0.04178092,0,0,0.002,0.397210873,0.92229615,1.749489305
198,0.267583627,0.704321583,0.150893598,0.016655807,0.155779851,0.21138184,0.122073602,0.043892353,0,0,0.046672222,0,0,0.177970409,0.045638784,0.174703143,0,0,0,0.043075811,0,0,0,0.568264853,0.822589947,2.160642627
199,0,0.067680722,0.331088279,0,0,0.887003288,0.041787313,0,0,0,0.236561087,0,0,0.348673311,0.144400225,0.288858853,0,0,0,0.473463413,0,0,0.018,0.214878015,1.000233764,2.819516491
200,0.157814682,0,0.391200889,0,0.016888887,0.087387369,0.421933822,0.016693642,0,0,0.085163725,0,0,0.260261619,0.024905044,0.174242337,0,0.012983699,0,0.173971799,0,0,0.036,0.174944299,1.022636898,1.823447513
201,0.05318728,0,0.271224806,0.073707242,0,0.690450486,0.174795729,0,0,0,0.203809594,0,0.073768088,0.343539362,0.003971739,0.027951881,0.005029156,0,0,0.086358761,0,0,0.022,0.198506647,1.01047891,2.007794125
202,0.151146225,0.075514687,0.082114616,0,0,0.573412804,0,0.005324629,0,0,0.176208566,0,0.001930726,0.24154938,0,0.033807164,0,0.070709312,0,0.301077276,0.008949488,0.016609041,0.016,0.235858982,0.993962761,1.738353912
203,0.35840209,0,0.330588329,0.47608938,0,0.444873066,0.274976106,0.306085531,0,0,0.182371205,0,0,0.852796858,0.086860311,0.385870063,0,0,0,0.352712629,0,0,0.016,0.246954319,0.985121341,4.051625567
204,0.38425536,0,0.546755881,0.021977594,0,0.138954574,0.074783372,0.158638829,0.062238875,0,0.178228119,0,0.037459627,1.280661966,0,0.328763457,0,0,0,0.168081113,0.020222091,0,0.002,0.378170801,0.935251432,3.401020859
205,0.149801658,0,0.517749261,0.117062938,0,0.291072597,0,0.017423325,0,0,0,0,0,0.263233216,0,0,0,0,0,0.063006799,0,0,0.018,0.212822247,1.051348518,1.419349795
206,0.197450716,0,0.247651615,0.052481973,0,0.338108784,0.011145191,0.110265099,0,0,0.033449695,0.064664172,0.110165071,0.166526525,0.048318705,0.069869595,0.006194855,0,0,0.266057795,0.0519141,0,0.01,0.308586253,0.959022709,1.774263892
207,0.450858399,0,0.495350043,0.297764171,0,0.962784467,0.311429977,0.01810361,0,0,0.131654913,0,0.237634234,0.074969225,0,0.141152528,0,0.046082341,0,0.19443823,0.03325121,0,0.002,0.418421716,0.90840183,3.395473347
208,0.064801452,0,0.377005563,0.020892694,0.010651618,0.131621178,0,0,0,0,0.116606803,0,0,0.579585037,0,0.207366145,0,0.008326601,0,0.23658114,0,0.004554628,0.006,0.339376257,0.95784439,1.75799286
209,0.11493806,0,0.360195792,0,0.042709164,0.199460682,0.15072975,0,0,0,0.134811957,0,0,0.361807907,0,0.10489543,0,0,0,0.112574508,0,0,0.014,0.287255592,0.975258404,1.582123249
210,0.093761556,0.454075944,0.203600173,0,0.226439266,0.523134596,0,0,0,0,0.214304526,0,0,0.331514517,0.012385136,0.143604287,0,0.014688559,0,0.409873414,0,0.008087246,0.002,0.390274182,0.921920618,2.63546922
211,0.079641671,0,0.474283215,0,0,0.290017969,0,0.054944667,0,0,0.111279268,0,0,0.365023265,0,0.243801775,0,0.021022679,0,0.198856183,0.037998018,0,0.016,0.247419983,0.995762653,1.876868709
212,0.175847245,0,0.425366527,0,0,0.40024093,0.074112619,0,0,0,0.139054313,0,0.049639029,0.238005559,0,0.088070721,0,0,0,0.196127483,0.003866725,0,0.002,0.396056281,0.921296415,1.790331152
213,0.336820001,0,0.245608585,0.18629899,0,0.490594811,0.391115154,0.10296783,0,0,0.183309163,0,0.091575827,0.703475583,0.10342494,0.21266914,0.011347446,0,0,0.162795178,0.019180927,0,0.016,0.252779143,0.979945049,3.241183574
214,0,0.175595493,0.242056888,0.037739567,0,0.39663791,0.155763363,0.035333961,0,0,0.231495885,0,0.007902749,0.483209445,0.14510349,0.371426751,0,0.225939211,0,0.313193156,0,0.073186713,0.016,0.232060824,0.988283597,2.894584583
215,0,0.088217297,0.313632313,0,0,0.333521464,0,0,0.060640525,0,0.141591146,0,0,0.471890708,0,0.121210945,0,0.04967534,0,0.258422857,0,0,0.088,0.12180237,1.048533237,1.838802595
216,0.089229985,0.199394011,0.517583665,0,0.139762233,0.402979962,0,0,0,0,0.168386951,0,0.047323982,0.267875679,0,0.348473926,0,0.015359442,0,0.362635767,0.000358304,0,0.002,0.435153168,0.900052814,2.559363907
217,0,0,0.592293072,0,0,0.309922223,0,0,0.032180466,0,0.179596615,0,0,0.79503545,0,0.056436772,0,0,0,0.379628937,0,0,0.002,0.403597225,0.923284074,2.345093534
218,0,0.038626107,0.41099612,0,0,0.384089942,0,0,0.002864765,0,0.126748269,0,0,0.514431792,0,0.053055154,0,0,0,0.255049311,0,0,0.068,0.131895747,1.055792851,1.78586146
219,0.191826496,0,0.653940935,0,0.199096791,0.135760431,0.563455602,0,0,0,0.148828661,0,0.020350892,0.346798939,0.075337303,0.16843233,0,0.024503213,0,0.200978852,0,0,0,0.45091854,0.892372448,2.729310446
220,0.464993672,0,0.3642442,0,0,0.89564082,0,0,0,0,0.419894853,0,0,0.422693247,0,0.030812381,0,0.021532179,0,0.529211448,0,0,0.006,0.347816938,0.945102172,3.1490228
221,0.091705208,0,0.620371563,0,0.022123264,0.538684276,0,0,0.059959869,0,0.204394184,0,0.028065002,0.238014898,0,0.248522692,0.029475336,0,0,0.166181176,0,0,0.004,0.369519162,0.935278261,2.247497468
222,0.163385226,0,0.357884152,0,0,0.249789377,0.050088655,0,0,0,0.121160607,0,0,0.461348174,0.002995017,0.260922696,0,0,0,0.25971446,0.013962549,0,0.006,0.345939199,0.946779332,1.941250913
223,0.11327666,0,0.658415899,0.042009212,0,0.754894738,0.16266496,0,0,0,0.099133407,0,0,0.398284655,0,0.051330053,0,0,0,0.071074779,0,0,0.198,0.084006564,1.081870782,2.351084362
224,0.363894096,0,0.464731424,0.069142843,0,1.047311028,0.06504662,0,0,0,0.245023023,0,0.196675879,1.541786264,0.155330877,0.136641611,0,0,0,0.617963682,0.0278914,0,0.016,0.24358353,0.992884269,4.931438748
225,0.125007565,0,0.451934164,0,0.021437292,0.515844147,0.056623499,0,0,0,0.113442317,0,0.035492,0.177934591,0.016965279,0.229031838,0.033628481,0,0.036798853,0.009619083,0,0,0.014,0.261771222,0.986031894,1.823759109
226,0,0.01889493,0.137556451,0,0,0.215495906,0,0.002874096,0.063499769,0,0.060319164,0.029633674,0.001687091,0.54603312,0,0.333255334,0,0.021942106,0,0.198171129,0.025686711,0.026067829,0.64,0.00405542,1.113746844,1.68111731
227,0.06196168,0,0.061193937,0,0,0.426432895,0,0,0,0,0,0.083033152,0.092475151,0,0,0.810342997,0,0.046723142,0.005045002,0,0.024386151,0,0.998,-0.064958633,1.123053389,1.611594106
228,1.105695342,0.109542235,0.04150835,0.092990549,0,0.776262263,0.028084311,0.117373088,0,0,0,0.016108446,0.057887243,0.096951782,0.013697191,0.39587934,0,0,0.14848632,0,0,0,0,0.518963411,0.854002398,3.000466461
229,0.037150891,0,0,0,0,0.397880907,0,0.026656333,0.081538202,0,0.178451018,0,0.051872813,0.77391791,0.000726817,0.073293038,0,0,0.00099336,0.001134205,0,0,0.066,0.140557863,1.070709594,1.623615495
230,0,0.573976633,0.34241637,0.019802431,0,0.781304311,0,0.191868755,0,0,0,0.208823117,0.054624134,0.323084058,0.226396306,0.455650932,0,0.033955549,0,0.334640485,0.071198565,0.005221422,0.002,0.380185942,0.924971655,3.622963067
231,1.013934069,0,0.145397892,0,0.010090033,0.573797892,0.039333865,0,0,0,0.170671106,0,0,0.191149743,0,0.080249662,0,0.016766621,0.049318589,0.088142884,0.002423673,0,0,0.520775235,0.85375071,2.38127603
232,0.084566614,0.507981033,0.32768244,0,0,0.882864714,0.278867023,0.12684981,0,0,0.01754082,0.067289891,0.106278212,0.298020413,0.021140644,0.233705902,0,0.050515653,0,0.276852796,0,0,0.002,0.386420061,0.922785404,3.280155965
233,0.063679007,0.172516762,0.428135517,0.013448245,0,0.48166324,0.035931168,0.022104075,0,0,0.033242051,0,0.091242371,0.219687554,0,0.180270662,0,0.250355249,0,0.109087551,0.017446031,0,0.002,0.446215237,0.894278088,2.118809483
234,0.067991893,0,0.261072145,0,0,0.35031784,0.069414725,0,0,0,0.180998077,0,0.10228024,0.441919019,0,0.142754162,0,0,0,0.070044416,0.014758336,0,0.148,0.098783993,1.051402932,1.701550853
235,0.118092114,0,0.470150026,0.062941179,0.030172454,0.094099321,0.060844247,0,0.009190012,0,0.016718245,0,0,0.35647365,0,0.305152221,0,0,0.173993049,0,0,0,0.002,0.443018756,0.898566572,1.697826518
236,0.044104733,0,0.623538407,0,0,0.297952883,0,0.012185425,0,0,0.172344151,0,0.002023301,0.506046684,0,0.095826708,0,0.055675959,0,0.330704393,0,0,0.022,0.197409071,1.031032959,2.140402645
237,0,0.151027375,0.138553823,0.049843694,0,0.162603283,0,0.039672418,0,0,0.196452162,0,0.084711673,0.324110927,0,0.169181293,0,0,0,0.211964907,0.004386958,0,0.17,0.093630418,1.053595216,1.532508513
238,0.744097124,0.818434916,0.005161781,0.139439159,0.180744431,1.241321268,0.078220315,0.172432378,0,0,0.004425479,0.009685554,0.072580814,0.437489112,0.121541188,0.313382543,0,0,0,0.146600548,0,0,0,0.494639864,0.868342339,4.48555661
239,0.540488179,0,0.425245877,0.310939443,0,0.333807356,0.842578777,0.149378902,0.027063784,0,0.355909145,0,0.119371158,0.678760232,0.034348181,0.070053242,0,0,0,0.474923304,0,0,0.008,0.333893772,0.946667118,4.36286758
240,0.815581551,0,0.701321543,0,0,0.767958214,0.078266501,0,0,0,0.178872288,0,0.127372688,0.212927104,0.003460451,0.08297516,0,0,0,0,0.021519409,0,0,0.558444891,0.829036091,2.990254909
241,0.007915932,0.106280914,0.443393363,0,0,0.981137923,0.017412938,0.021011017,0,0,0.047267858,0,0.09001561,0.119588995,0.038015844,0.290114641,0,0,0,0.227262477,0.041709203,0,0.004,0.368569419,0.931852866,2.431126712
242,0.078680094,0,0.302928063,0,0,0.267305788,0.000798148,0.01910682,0.041753985,0,0.109670451,0,0.010921188,1.020436986,0.037005903,0.150006811,0,0,0,0.150838784,0,0,0.014,0.270947236,1.000119728,2.189453021
243,0.011302298,0.186597408,0.775513011,0.069417128,0,0.395784416,0,0,0,0,0.186710772,0,0.037405112,0.0565849,0,0.149704091,0,0,0.126815667,0.109953347,0,0,0.034,0.181452089,1.058270911,2.10578815
244,0,0.210703522,0.183064484,0.096425752,0,0.830403423,0.056757369,0.107443148,0,0,0.022195042,0,0,0.171325377,0.006282827,0.114860088,0,0,0.314510062,0.143414623,0,0.038585924,0.014,0.262611656,0.980051147,2.295971639
245,0.055194796,0,0.380862658,0,0,0.516185211,0.057503457,0,0,0,0.239061855,0,0,0.33031788,0.005500617,0.287379169,0,0.034917832,0,0.170539228,0,0,0.008,0.317097199,0.95519686,2.077462703
246,0.166707508,0.605311069,0.028810182,0,0.091400675,0.425479274,0.024483578,0.0445185,0,0,0.159736364,0,0,0.433656506,0,0.112009736,0,0.013076347,0,0.186746277,0.015055074,0,0.002,0.438797396,0.898420828,2.306991091
247,0.842132684,0.245598918,0,0,0.047873116,0.971057299,0,0.082346571,0,0,0.020763887,0.022280685,0,0.391695915,0.042694642,0.559422942,0,0,0,0.112812094,0,0,0,0.48376007,0.874448906,3.338678753
248,0.132253894,0,0.66834562,0,0.065505351,0.120570223,0,0,0.034229568,0,0.035380826,0,0.085436921,0.948797759,0,0.071633282,0,0,0.0565216,0.022835097,0,0,0.002,0.389542561,0.942455581,2.24151014
249,0.542186417,0.060546635,0.375314746,0.139167776,0,0.882913178,0.050541648,0.025738586,0,0,0.025300533,0,0.005621486,0.095186612,0.059463021,0.226843027,0,0,0.189755343,0.080560063,0.095597058,0,0.002,0.407180359,0.914795188,2.854736128
250,0.119627735,0,0.299435672,0,0,0.525084437,0,0,0,0,0.089190768,0,0.096651188,0.505431529,0.013097957,0.492298845,0,0.033062426,0,0.192540685,0,0.022197097,0.014,0.270666894,0.976384799,2.388618339
251,0,0.115399218,0.570924635,0,0,0.452255063,0,0.110727988,0,0,0.199311534,0,0,0.097055398,0.078766683,0.083737049,0,0.046733366,0,0.334551183,0,0,0.002,0.439899336,0.899043165,2.089462116
252,0,0.161490662,0.438343461,0,0,0.331605334,0.001134459,0.177242895,0,0,0.01181838,0.14393029,0,0.61858464,0.330366626,0.13707418,0,0,0,0.446108326,0.043175106,0,0.01,0.306255501,0.966278375,2.840874359
253,0,0.007533098,0.338916128,0,0,0.298592783,0.085350845,0,0,0,0.071560236,0,0.010069893,0.396439663,0,0.173384445,0.018545713,0.081296053,0,0.305606575,0.073870798,0,0.052,0.148071191,1.033541701,1.86116623
254,0.779267137,0,0.320467917,0,0.104707948,0.548167167,0.028273787,0.006788104,0,0,0.014075249,0.01633348,0.024206905,0.215079026,0.006165311,0.198042302,0,0,0,0.001385068,0,0,0,0.485207051,0.876863325,2.262959403
255,0,0.446521399,0.197560121,0.009340801,0,0.547207063,0.017257842,0.101610144,0,0,0.075711977,0,0,1.192015498,0.164505093,0.575380874,0,0,0,0.167046497,0.06013666,0,0.014,0.296022798,0.971873742,3.554293969
256,0.083550685,0,0.181796378,0,0,0.188597749,0,0,0.005223418,0,0.089242009,0,0,0.928665789,0,0.024177956,0,0,0,0.680198213,0,0.156622452,0.01,0.310832524,0.990740284,2.33807465
257,0,0.044240439,0.307151524,0.015180477,0,0.675784424,0.081891555,0,0,0,0.009886675,0.029009974,0.020098913,0.206861906,0.085467478,0.222680338,0,0,0,0.105844614,0.097645418,0,0.018,0.21442714,0.997496504,1.901743735
258,0,0.010363487,0.29921144,0,0,0.423678037,0.03347234,0,0,0,0.054005225,0,0,0.188407679,0.015144012,0.294722747,0.025195192,0.163964891,0,0.176756156,0.074735898,0.00952241,0.012,0.299040129,0.959694704,1.769179515
259,0.150026806,0,0.202625559,0,0.018853985,0.064969495,0,0.202326506,0,0,0,0.067841755,0,0.434531955,0.077385451,0.248034088,0,0,0,0.378653289,0.03807671,0,0.02,0.204741331,1.015954116,1.883325599
260,0.266573053,0,0.286047533,0.055132593,0,0.299906204,0,0.082402813,0,0,0.036261637,0,0,0.159594175,0,0,0,0.037773152,0,0.266075637,0,0.02173228,0.014,0.271860334,0.988936032,1.511499077
261,0.445467281,0.183475949,0.363238889,0,0.030618997,0.413082329,0.315774306,0.013387992,0,0,0.237361357,0,0.085265403,0.657761265,0.097343766,0.480793297,0,0,0.049837415,0.061440535,0,0,0.002,0.384755137,0.923450852,3.434848782
262,0.269417901,0,0.158405323,0.42455008,0,0.313956119,0.148696959,0.247446832,0,0,0,0.3523104,0.077529318,0.093224052,0.034061002,0.213793983,0,0.143012557,0,0.390194592,0.02046721,0.042624978,0.016,0.248946083,0.991514111,2.929691304
263,0.208492971,0,0.200117001,0.079888743,0,0.72857366,0.177715942,0,0,0,0.125198782,0,0.112948609,0.124395778,0,0.198854628,0.015896821,0.021629483,0,0.471531263,0.026149107,0.010930858,0.014,0.276137547,0.972555332,2.502323646
264,0,0.046991968,0.375298052,0.05107332,0,0.620213934,0.065997344,0.098354411,0,0,0.190765021,0,0.019165728,0.486733544,0.134198003,0.013808919,0,0,0,0.17290615,0,0,0.014,0.284857425,0.971168205,2.275506394
265,0,0.100664566,0.365994522,0,0.062096148,0.355629849,0.083929696,0,0,0,0.115234964,0,0.020301814,0.40601997,0,0.075132437,0,0.054156066,0,0.14485328,0.010277063,0,0.008,0.323706014,0.954268434,1.794290374
266,0.084788575,0,0.509459021,0.038538583,0.031424136,0.318773831,0,0.023103366,0,0,0.0826626,0,0,0.290742597,0.01666982,0.303204101,0,0,0,0.157136233,0,0,0.002,0.380743506,0.930376468,1.856502865
267,0.2739744,0,0.156773792,0.220486194,0,0.395403786,0.094762319,0.017736326,0,0,0.017036432,0,0.032319222,0.481242036,0.039826737,0.133683892,0,0,0,0.017680873,0,0,0.008,0.320584169,0.956023014,1.880926008
268,0.387099305,0.401817247,0.098270904,0.00522323,0.182124221,0.618439354,0.109291523,0,0,0,0.305150629,0,0.036087013,0.30099329,0,0.078018594,0,0,0,0.166803651,0.016667425,0,0.002,0.406040578,0.91528648,2.705986386
269,0.045030564,0,0.342478329,0,0.04587534,0.263883493,0.129230582,0,0,0,0.106887846,0,0,0.462643202,0.001444356,0.137094355,0,0,0,0.109410551,0,0,0.01,0.307403342,0.964738181,1.643978616
270,0.141613579,0,0.227988132,0,0.015358761,0.272661371,0,0,0,0,0.107134408,0,0.003099611,0.420562757,0,0.032108767,0,0,0,0.201295015,0.064805676,0,0.016,0.225603407,1.004740081,1.486628076
271,0.193516526,0,0.247396313,0,0,0.343777749,0.012309243,0.012757876,0.010974577,0,0.066579079,0,0.062644003,0.210707848,0,0,0,0.074203722,0,0.375296884,0.051823696,0.023067126,0.02,0.204392567,1.011473048,1.685054644
272,0,0.098141692,0.693212142,0,0,0.180713545,0,0,0,0,0.088888328,0,0,0.537388953,0,0.126866623,0,0.009224265,0,0.335331135,0.062735234,0.074974749,0.014,0.278840391,0.996757397,2.207476665
273,0.040586531,0,0.245825532,0,0,0.440507007,0.167954457,0.018136812,0,0,0.139483722,0,0.005136978,0.332317189,0.075123243,0.111173772,0,0,0,0.168354626,0.0264561,0.000565654,0.024,0.196505046,1.005002222,1.771621624
274,0.110019241,0,0.509350777,0.01386039,0,0.347410458,0.04271879,0,0,0,0.111467137,0,0.069547691,0.241108481,0,0.068514267,0,0,0,0.156872093,0.023796048,0,0.002,0.430758276,0.905114651,1.694665373
275,0,0.044545894,0.379820477,0,0,0.647760495,0.183786134,0,0,0,0.236458574,0,0.063988776,0.635528703,0.108658338,0.258313218,0,0,0,0.27673993,0.033221789,0,0.014,0.263981432,0.976983265,2.868822328
276,0.10459223,0,0.24899254,0,0,0.376129765,0.041076663,0,0,0,0.060714893,0,0.017141691,0.329857544,0,0.167781467,0,0.072551159,0,0.17657173,0,0,0.038,0.161242592,1.02425321,1.595409682
277,0.269302415,0,0.176513098,0.017196945,0,0.379957362,0,0.0182057,0.030032275,0,0.154401731,0,0.058501716,0.142875808,0,0.041403526,0,0,0,0.479617053,0.023702792,0.009927,0.014,0.28591986,0.977951742,1.801637421
278,0.003186541,0.32863334,0.414529656,0,0.048806496,0.532757484,0,0.012611681,0,0,0.276300101,0,0.029004028,0.22998608,0,0.249273988,0,0,0,0.254242405,0,0,0,0.463566764,0.885392602,2.379331798
279,0.028395096,0.060843241,0.380940908,0,0,0.910585319,0.011194205,0.014613425,0,0,0.05736547,0,0.037308052,0.253511973,0,0.30610996,0,0.046494745,0,0.202909634,0,0,0.016,0.255248606,0.983357848,2.310272029
280,0.151722658,0.046648031,0.614915592,0,0,0.394087255,0.159421465,0,0,0,0.134964983,0,0,0.545471189,0,0.025491078,0,0.009196856,0.052143297,0.08842632,0,0,0.002,0.43147753,0.905263452,2.222488724
281,0,0.152805509,0.638613756,0,0.160924946,0.445109644,0,0,0,0,0.102561503,0,0.031802779,0.025392994,0.019865902,0.27088906,0,0.001276954,0.161424951,0.125728824,0,0,0,0.470821326,0.88233939,2.136396821
282,0.33310024,0,0.311181729,0.086541878,0,0.404319892,0.036826756,0.087610651,0,0,0.059490853,0.07193197,0.083759816,0.435793117,0.024182668,0.553357584,0,0,0,0,0.135341361,0,0.008,0.328208015,0.949567728,2.623438513
283,0.144251304,0.056478863,0.317750816,0.051817041,0,1.147679182,0.147636671,0.061116148,0,0,0,0,0.040117554,0.221648279,0.050780812,0.302232489,0,0.001646696,0,0.217540087,0.03136209,0,0.014,0.266736726,0.978362013,2.792058032
284,0.274803629,0,0.082868842,0.086346078,0,0.588872094,0,0.012138406,0,0,0.0910207,0,0.020429365,0.626834037,0,0.079915994,0,0,0,0.043144087,0,0,0.016,0.242421577,0.998702579,1.906373233
285,0.126148847,0.057127499,0.395895884,0,0.137702303,0.138142542,0.272712305,0,0,0,0.029035054,0.007729596,0,0.439153455,0.02608313,0.146458043,0,0,0.06324804,0,0,0,0.002,0.392971082,0.92233553,1.839436699
286,0,0.016910571,0.231961839,0,0.153919299,0.227676087,0.019988779,0,0,0,0.157976447,0,0,0.53520607,0,0.045647877,0,0,0.012389149,0,0,0,0.47,0.026458765,1.104267796,1.401676117
287,0,0.062762062,0.20877731,0,0,0.456275065,0,0,0,0,0.127431153,0,0.000275246,0.354235458,0,0.168781315,0,0.027061438,0,0.511581922,0.259986868,0.153817679,0.014,0.261879259,0.983101382,2.330985516
288,0.100415872,0.639113827,0.041941481,0,0,0.703391789,0.056065032,0.050648465,0,0,0.182040692,0,0.000132856,0.171987634,0.010702739,0.124993475,0,0.009688635,0,0.288364094,0.097186822,0.096052494,0.164,0.095131516,1.055065347,2.572725906
289,0.053488721,0,0.231295201,0,0,0.361067948,0.049315629,0,0,0,0.014850893,0,0,0.666761262,0.040943961,0.172972741,0,0.062866612,0,0.207855891,0.005531615,0.013091468,0.01,0.310312209,0.966821397,1.880041943
