Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
87,0.054921716,0,0.227676186,0.029233662,0,0.411604123,0.356029051,0.052114543,0,0,0.077354163,0,0.029310485,0.209901032,0.02145328,0.209442809,0.002010213,0.013660385,0,0.068841885,0.003407928,0,0.072,0.128187686,1.028705035,1.76696146
88,0.134216983,0,0.266066528,0.079292796,0,0.251251707,0.24674045,0,0,0,0.028129533,0.020282009,0.062350683,0.204075049,0,0.033800525,0,0,0,0.017493732,0.032197191,0,0.066,0.138713369,1.036652256,1.375897186
89,0,0.06531758,0.466772259,0,0,0.567794808,0.064623064,0,0,0,0.206442765,0,0.015665121,0.322612212,0,0.124308611,0,0.023363793,0,0.337857621,0,0,0.002,0.418210863,0.908649338,2.194757834
90,0,0,0.28803368,0,0,0.337381574,0,0,0,0,0.083412793,0,0,0.665685961,0,0.049060943,0,0.017146338,0,0.200351469,0.016538206,0,0.074,0.127667026,1.065147271,1.657610963
91,0,0.402693542,0.193367677,0.055750572,0,0.759174852,0.108469064,0.083766947,0,0,0.108215107,0,0.166048201,0.395381435,0,0.277708182,0,0.081722907,0,0.25133296,0.119363928,0,0.01,0.302892809,0.957267803,3.002995374
92,0.32313288,0,0.83327228,0,0,1.020248823,0,0,0,0,0.197406481,0,0,0.151173108,0,0.222896554,0,0.019246237,0,0.618519296,0,0,0.002,0.420242456,0.91071934,3.38589566
93,0.124800262,0,0.279903861,0.060361625,0,0.385877949,0.041872046,0.010991484,0,0,0.084154182,0,0,0.351481651,0.053326512,0.090927935,0,0,0,0.266974825,0,0,0.014,0.275861095,0.976654691,1.750672334
94,0.29264716,0.228090878,0.099363962,0,0,0.250913766,0.304121906,0.12716907,0,0,0.214941071,0,0,0.558305591,0.001996695,0.24452471,0,0,0,0.147081891,0.02216237,0,0.006,0.336757066,0.945750166,2.491319071
95,0.264566089,0.037922887,0.254229669,0.013200553,0,0.594824416,0.168460725,0.023141218,0,0,0.244221297,0,0.04831327,0.207541689,0,0.098427476,0,0,0,0.340759573,0.019735264,0,0.01,0.312682548,0.957995289,2.315344125
96,0.033899833,0,0.331674734,0,0.01798781,0.305367469,0.112693902,0,0,0,0.089259915,0,0.01055269,0.262623571,0,0.023441742,0,0.064593371,0,0.263738551,0.018412947,0,0.016,0.251375556,0.989397634,1.534246536
